signal,threshold,strategy,lead_days,oos_sharpe,oos_ann_return,max_drawdown,annual_turnover,oos_n,valid
S1_ratio,T1_p25,P1,0,0.0265,0.16,-20.79,24.56,1566,False
S1_ratio,T1_p25,P2,0,0.9888,9.65,-15.14,14.89,1566,True
S1_ratio,T1_p25,P3,0,-0.7552,-15.37,-75.56,49.12,1566,False
S1_ratio,T1_p50,P1,0,0.5059,4.72,-16.65,25.53,1566,False
S1_ratio,T1_p50,P2,0,0.9888,9.65,-15.14,14.89,1566,True
S1_ratio,T1_p50,P3,0,-0.3064,-6.24,-58.54,51.05,1566,False
S1_ratio,T1_p75,P1,0,1.0251,14.0,-23.78,20.14,1566,True
S1_ratio,T1_p75,P2,0,0.9888,9.65,-15.14,14.89,1566,True
S1_ratio,T1_p75,P3,0,0.6045,12.31,-29.32,40.27,1566,False
S1_ratio,T2_rp25,P1,0,0.4014,2.23,-10.95,28.93,1566,False
S1_ratio,T2_rp25,P2,0,0.9888,9.65,-15.14,14.89,1566,True
S1_ratio,T2_rp25,P3,0,-0.5508,-11.22,-67.48,57.86,1566,False
S1_ratio,T2_rp50,P1,0,0.7846,6.77,-12.03,29.54,1566,False
S1_ratio,T2_rp50,P2,0,0.9888,9.65,-15.14,14.89,1566,True
S1_ratio,T2_rp50,P3,0,-0.105,-2.14,-46.88,59.08,1566,False
S1_ratio,T2_rp75,P1,0,0.946,11.68,-19.59,22.12,1566,True
S1_ratio,T2_rp75,P2,0,0.9888,9.65,-15.14,14.89,1566,True
S1_ratio,T2_rp75,P3,0,0.3765,7.67,-28.99,44.24,1566,False
S1_ratio,T4_unity,P1,0,0.9676,14.57,-29.03,14.44,1566,True
S1_ratio,T4_unity,P2,0,0.9888,9.65,-15.14,14.89,1566,True
S1_ratio,T4_unity,P3,0,0.6609,13.46,-35.7,28.88,1566,False
S1_ratio,T1_p25,P1,1,-0.3447,-2.18,-25.85,24.56,1566,False
S1_ratio,T1_p25,P2,1,1.0219,10.1,-16.98,14.9,1566,True
S1_ratio,T1_p25,P3,1,-0.986,-20.06,-82.14,49.12,1566,False
S1_ratio,T1_p50,P1,1,0.6711,6.37,-17.09,25.58,1566,False
S1_ratio,T1_p50,P2,1,1.0219,10.1,-16.98,14.9,1566,True
S1_ratio,T1_p50,P3,1,-0.1443,-2.94,-50.11,51.15,1566,False
S1_ratio,T1_p75,P1,1,0.9225,12.65,-25.6,20.19,1566,True
S1_ratio,T1_p75,P2,1,1.0219,10.1,-16.98,14.9,1566,True
S1_ratio,T1_p75,P3,1,0.4719,9.61,-31.53,40.37,1566,False
S1_ratio,T2_rp25,P1,1,0.008,0.05,-12.62,28.93,1566,False
S1_ratio,T2_rp25,P2,1,1.0219,10.1,-16.98,14.9,1566,True
S1_ratio,T2_rp25,P3,1,-0.766,-15.59,-75.88,57.86,1566,False
S1_ratio,T2_rp50,P1,1,0.615,5.58,-18.63,29.54,1566,False
S1_ratio,T2_rp50,P2,1,1.0219,10.1,-16.98,14.9,1566,True
S1_ratio,T2_rp50,P3,1,-0.222,-4.52,-54.8,59.08,1566,False
S1_ratio,T2_rp75,P1,1,0.843,10.45,-26.38,22.12,1566,True
S1_ratio,T2_rp75,P2,1,1.0219,10.1,-16.98,14.9,1566,True
